evento,lat,lon,dia,hora
CHOQUE,19.33585,-99.173,martes,17
DERRAPADO,19.33027,-99.13698,martes,21
ATROPELLADO,19.39731,-99.25436,miércoles,7
CHOQUE,19.2236,-98.99303,miércoles,7
CHOQUE,19.28139,-99.00419,miércoles,12
CHOQUE,19.32817,-99.06781,miércoles,14
CHOQUE,19.4696,-99.17189,miércoles,14
CHOQUE,19.34824,-99.1919,miércoles,15
CHOQUE,19.44263,-99.13706,miércoles,15
DERRAPADO,19.45479,-99.13833,miércoles,12
ATROPELLADO,19.30556,-99.06345,jueves,9
ATROPELLADO,19.46634,-99.12568,jueves,15
CAIDA DE CICLISTA,19.39466,-99.16526,jueves,9
CAIDA DE CICLISTA,19.29717,-99.02289,jueves,12
CHOQUE,19.37345,-99.11009,jueves,8
DERRAPADO,19.37655,-99.12728,jueves,3
CAIDA DE PASAJERO,19.41752,-99.16764,viernes,11
CAIDA DE PASAJERO,19.42226,-99.12029,viernes,11
CHOQUE,19.40564,-99.178,viernes,6
CHOQUE,19.40851,-99.09272,viernes,9
CHOQUE,19.42611,-99.13529,viernes,12
CHOQUE,19.44242,-99.12124,viernes,13
CHOQUE,19.35988,-99.19752,viernes,15
CHOQUE,19.33002,-99.13698,viernes,15
CHOQUE,19.37782,-99.17036,viernes,15
CHOQUE,19.49346,-99.13285,viernes,16
CHOQUE,19.4563,-99.14482,viernes,16
DERRAPADO,19.42015,-99.16482,viernes,20
ATROPELLADO,19.43861,-99.12362,sábado,4
ATROPELLADO,19.45552,-99.07256,sábado,10
ATROPELLADO,19.51319,-99.15452,sábado,21
CAIDA DE CICLISTA,19.384317,-99.036247,sábado,17
CAIDA DE CICLISTA,19.46593,-99.12469,sábado,21
CHOQUE,19.39037,-99.20606,sábado,1
CHOQUE,19.345458,-99.021193,sábado,3
CHOQUE,19.536595,-99.142103,sábado,6
CHOQUE,19.34456,-99.16408,sábado,11
CHOQUE,19.4228,-99.12613,sábado,12
CHOQUE,19.36387,-99.14936,sábado,16
CHOQUE,19.42078,-99.11445,sábado,17
CHOQUE,19.26867,-99.12751,sábado,17
CHOQUE,19.36319,-99.1699,sábado,18
CHOQUE,19.34277,-99.04753,sábado,19
DERRAPADO,19.3323,-99.03036,sábado,2
DERRAPADO,19.40353,-99.18659,sábado,19
DERRAPADO,19.42432,-99.13449,sábado,19
ATROPELLADO,19.31711,-99.073997,domingo,11
CHOQUE,19.31614,-99.166644,domingo,0
CHOQUE,19.333929,-99.06425,domingo,4
CHOQUE,19.32142,-99.22044,domingo,14
CHOQUE,19.45424,-99.11643,domingo,14
DERRAPADO,19.29578,-99.10053,domingo,10
DERRAPADO,19.28319,-99.03264,domingo,19
ATROPELLADO,19.38044,-99.07688,lunes,17
ATROPELLADO,19.54077,-99.14826,lunes,19
CHOQUE,19.40926,-99.16753,lunes,7
CHOQUE,19.38138,-99.12996,lunes,11
CHOQUE,19.41116,-99.12426,lunes,14
CHOQUE,19.39992,-99.09874,lunes,15
CHOQUE,19.29136,-99.04313,lunes,20
CHOQUE,19.44637,-99.22,lunes,22
DERRAPADO,19.3887,-99.1824,lunes,0
DERRAPADO,19.348961,-99.018266,lunes,11
DERRAPADO,19.41518,-99.1438,lunes,18
ATROPELLADO,19.4909,-99.18631,martes,7
ATROPELLADO,19.34258,-99.14889,martes,9
ATROPELLADO,19.40082,-99.09126,martes,14
CHOQUE,19.31215,-99.17085,martes,6
CHOQUE,19.42561,-99.06862,martes,11
CHOQUE,19.35663,-99.08656,martes,11
CHOQUE,19.44311,-99.19971,martes,12
CHOQUE,19.43219,-99.1823,martes,14
CHOQUE,19.434541,-99.171624,martes,16
CHOQUE,19.37465,-99.1171,martes,16
DERRAPADO,19.35864,-98.99803,martes,12
DERRAPADO,19.41754,-99.14072,martes,13
VOLCADURA,19.47773,-99.18452,martes,3
ATROPELLADO,19.256074,-99.178483,miércoles,14
ATROPELLADO,19.38546,-99.03351,miércoles,18
CHOQUE,19.39113,-99.1892,miércoles,8
CHOQUE,19.38779,-99.07482,miércoles,10
DERRAPADO,19.32662,-99.03058,miércoles,10
DERRAPADO,19.34113,-99.28322,miércoles,15
DERRAPADO,19.161695,-98.990646,miércoles,16
DERRAPADO,19.37463,-99.16244,miércoles,17
ATROPELLADO,19.284063,-99.145433,jueves,2
ATROPELLADO,19.45266,-99.10903,jueves,20
CHOQUE,19.256075,-99.178482,jueves,7
CHOQUE,19.43425,-99.13615,jueves,11
DERRAPADO,19.4361,-99.1695,jueves,20
ATROPELLADO,19.48178,-99.13776,viernes,12
CHOQUE,19.29226,-99.04325,viernes,4
CHOQUE,19.44894,-99.17036,viernes,9
CHOQUE,19.3771,-99.06706,viernes,10
CHOQUE,19.28412,-99.23275,viernes,11
CHOQUE,19.28385,-99.17569,viernes,13
CHOQUE,19.29983,-99.10502,viernes,17
CHOQUE,19.28088,-99.00041,viernes,19
DERRAPADO,19.32471,-99.17274,viernes,3
DERRAPADO,19.51869,-99.16345,viernes,4
DERRAPADO,19.41785,-99.16605,viernes,11
DERRAPADO,19.42014,-99.0961,viernes,18
CAIDA DE CICLISTA,19.49238,-99.20284,sábado,20
CHOQUE,19.41373,-99.1368,sábado,0
CHOQUE,19.3472,-99.20191,sábado,4
CHOQUE,19.45169,-99.20047,sábado,8
CHOQUE,19.34273,-99.14893,sábado,8
CHOQUE,19.332834,-99.274918,sábado,11
CHOQUE,19.36605,-99.18239,sábado,20
DERRAPADO,19.425519,-99.119856,sábado,11
DERRAPADO,19.38415,-99.05471,sábado,19
VOLCADURA,19.392402,-99.239414,sábado,15
CHOQUE,19.44306,-99.1274,domingo,4
CHOQUE,19.45408,-99.12425,domingo,4
CHOQUE,19.38125,-99.13915,domingo,13
CHOQUE,19.34859,-99.01339,domingo,15
CHOQUE,19.450693,-99.086892,domingo,17
CHOQUE,19.249482,-99.173588,domingo,18
CHOQUE,19.34773,-99.0679,domingo,18
CHOQUE,19.51791,-99.15605,domingo,20
DERRAPADO,19.38974,-99.10907,domingo,3
DERRAPADO,19.48795,-99.09665,domingo,17
DERRAPADO,19.40757,-99.13956,domingo,18
